index,sim,mass,tem_supply,tem_surf,tem_win,n_occ,x,y,V
0,0,0.023125428,26.6666667,4.4444444,-1.1111111,1,2.05,2.25,0.079308041
1,1,0.057813569,26.6666667,4.4444444,-1.1111111,1,2.05,2.25,0.071792116
2,2,0.173440706,26.6666667,4.4444444,-1.1111111,1,2.05,2.25,0.071021063
3,3,0.023125428,29.4444444,4.4444444,-1.1111111,1,2.05,2.25,0.075473892
4,4,0.057813569,29.4444444,4.4444444,-1.1111111,1,2.05,2.25,0.066388151
5,5,0.173440706,29.4444444,4.4444444,-1.1111111,1,2.05,2.25,0.067940121
6,6,0.023125428,35,4.4444444,-1.1111111,1,2.05,2.25,0.066797175
7,7,0.057813569,35,4.4444444,-1.1111111,1,2.05,2.25,0.07109041
8,8,0.173440706,35,4.4444444,-1.1111111,1,2.05,2.25,0.071622072
9,9,0.023125428,26.6666667,7.2222222,-1.1111111,1,2.05,2.25,0.067214154
10,10,0.057813569,26.6666667,7.2222222,-1.1111111,1,2.05,2.25,0.065524998
11,11,0.173440706,26.6666667,7.2222222,-1.1111111,1,2.05,2.25,0.065581203
12,12,0.023125428,29.4444444,7.2222222,-1.1111111,1,2.05,2.25,0.080668067
13,13,0.057813569,29.4444444,7.2222222,-1.1111111,1,2.05,2.25,0.070545006
14,14,0.173440706,29.4444444,7.2222222,-1.1111111,1,2.05,2.25,0.074120999
15,15,0.023125428,35,7.2222222,-1.1111111,1,2.05,2.25,0.07240009
16,16,0.057813569,35,7.2222222,-1.1111111,1,2.05,2.25,0.061394906
17,17,0.173440706,35,7.2222222,-1.1111111,1,2.05,2.25,0.067560123
18,18,0.023125428,26.6666667,10,-1.1111111,1,2.05,2.25,0.067219914
19,19,0.057813569,26.6666667,10,-1.1111111,1,2.05,2.25,0.068723747
20,20,0.173440706,26.6666667,10,-1.1111111,1,2.05,2.25,0.067032113
21,21,0.023125428,29.4444444,10,-1.1111111,1,2.05,2.25,0.064668557
22,22,0.057813569,29.4444444,10,-1.1111111,1,2.05,2.25,0.068136079
23,23,0.173440706,29.4444444,10,-1.1111111,1,2.05,2.25,0.057684526
24,24,0.023125428,35,10,-1.1111111,1,2.05,2.25,0.077180895
25,25,0.057813569,35,10,-1.1111111,1,2.05,2.25,0.069555506
26,26,0.173440706,35,10,-1.1111111,1,2.05,2.25,0.074802946
27,27,0.023125428,26.6666667,12.7777778,-1.1111111,1,2.05,2.25,0.071686166
28,28,0.057813569,26.6666667,12.7777778,-1.1111111,1,2.05,2.25,0.069675841
29,29,0.173440706,26.6666667,12.7777778,-1.1111111,1,2.05,2.25,0.065954815
30,30,0.023125428,29.4444444,12.7777778,-1.1111111,1,2.05,2.25,0.067434107
31,31,0.057813569,29.4444444,12.7777778,-1.1111111,1,2.05,2.25,0.067628464
32,32,0.173440706,29.4444444,12.7777778,-1.1111111,1,2.05,2.25,0.07070073
33,33,0.023125428,35,12.7777778,-1.1111111,1,2.05,2.25,0.06374566
34,34,0.057813569,35,12.7777778,-1.1111111,1,2.05,2.25,0.059291539
35,35,0.173440706,35,12.7777778,-1.1111111,1,2.05,2.25,0.068123284
36,36,0.023125428,26.6666667,4.4444444,4.4444444,1,2.05,2.25,0.116240668
37,37,0.057813569,26.6666667,4.4444444,4.4444444,1,2.05,2.25,0.111450352
38,38,0.173440706,26.6666667,4.4444444,4.4444444,1,2.05,2.25,0.08773465
39,39,0.023125428,29.4444444,4.4444444,4.4444444,1,2.05,2.25,0.081720567
40,40,0.057813569,29.4444444,4.4444444,4.4444444,1,2.05,2.25,0.088019621
41,41,0.173440706,29.4444444,4.4444444,4.4444444,1,2.05,2.25,0.067888545
42,42,0.023125428,35,4.4444444,4.4444444,1,2.05,2.25,0.072093368
43,43,0.057813569,35,4.4444444,4.4444444,1,2.05,2.25,0.082447784
44,44,0.173440706,35,4.4444444,4.4444444,1,2.05,2.25,0.075379823
45,45,0.023125428,26.6666667,7.2222222,4.4444444,1,2.05,2.25,0.068113628
46,46,0.057813569,26.6666667,7.2222222,4.4444444,1,2.05,2.25,0.086489132
47,47,0.173440706,26.6666667,7.2222222,4.4444444,1,2.05,2.25,0.080955037
48,48,0.023125428,29.4444444,7.2222222,4.4444444,1,2.05,2.25,0.093882969
49,49,0.057813569,29.4444444,7.2222222,4.4444444,1,2.05,2.25,0.087729837
50,50,0.173440706,29.4444444,7.2222222,4.4444444,1,2.05,2.25,0.087640077
51,51,0.023125428,35,7.2222222,4.4444444,1,2.05,2.25,0.08636081
52,52,0.057813569,35,7.2222222,4.4444444,1,2.05,2.25,0.073600971
53,53,0.173440706,35,7.2222222,4.4444444,1,2.05,2.25,0.076663745
54,54,0.023125428,26.6666667,10,4.4444444,1,2.05,2.25,0.069829478
55,55,0.057813569,26.6666667,10,4.4444444,1,2.05,2.25,0.077667795
56,56,0.173440706,26.6666667,10,4.4444444,1,2.05,2.25,0.076602262
57,57,0.023125428,29.4444444,10,4.4444444,1,2.05,2.25,0.080390081
58,58,0.057813569,29.4444444,10,4.4444444,1,2.05,2.25,0.07195836
59,59,0.173440706,29.4444444,10,4.4444444,1,2.05,2.25,0.096818052
60,60,0.023125428,35,10,4.4444444,1,2.05,2.25,0.073333383
61,61,0.057813569,35,10,4.4444444,1,2.05,2.25,0.087240193
62,62,0.173440706,35,10,4.4444444,1,2.05,2.25,0.075935961
63,63,0.023125428,26.6666667,12.7777778,4.4444444,1,2.05,2.25,0.080776776
64,64,0.057813569,26.6666667,12.7777778,4.4444444,1,2.05,2.25,0.091349453
65,65,0.173440706,26.6666667,12.7777778,4.4444444,1,2.05,2.25,0.087477147
66,66,0.023125428,29.4444444,12.7777778,4.4444444,1,2.05,2.25,0.075473331
67,67,0.057813569,29.4444444,12.7777778,4.4444444,1,2.05,2.25,0.074402764
68,68,0.173440706,29.4444444,12.7777778,4.4444444,1,2.05,2.25,0.077064674
69,69,0.023125428,35,12.7777778,4.4444444,1,2.05,2.25,0.074819353
