index,sim,tem,mass,n,occ,x,y,MRT
0,0,15,26,24,3,7.185,5.8,25.63762754
1,0,15,26,24,3,10.185,3.8,25.74246695
2,0,15,26,24,3,13.175,5.8,25.7705777
3,1,17,1,23,3,7.185,5.8,24.48696874
4,1,17,1,23,3,10.185,3.8,24.50697761
5,1,17,1,23,3,13.175,5.8,24.51064908
6,2,17,11,23,3,7.185,5.8,24.60240008
7,2,17,11,23,3,10.185,3.8,24.65636063
8,2,17,11,23,3,13.175,5.8,24.68511319
9,3,13,23,25,3,7.185,5.8,26.49031348
10,3,13,23,25,3,10.185,3.8,26.59392575
11,3,13,23,25,3,13.175,5.8,26.61364484
12,4,22,19,28,3,7.185,5.8,29.05911777
13,4,22,19,28,3,10.185,3.8,29.11461679
14,4,22,19,28,3,13.175,5.8,29.13290673
15,5,17,30,24,3,7.185,5.8,25.67426746
16,5,17,30,24,3,10.185,3.8,25.78838454
17,5,17,30,24,3,13.175,5.8,25.80985098
18,6,20,4,25,3,7.185,5.8,26.29903909
19,6,20,4,25,3,10.185,3.8,26.2618819
20,6,20,4,25,3,13.175,5.8,26.28584914
21,7,27,4,21,3,7.185,5.8,22.70223173
22,7,27,4,21,3,10.185,3.8,22.70312158
23,7,27,4,21,3,13.175,5.8,22.75292831
24,8,18,20,25,3,7.185,5.8,26.45262516
25,8,18,20,25,3,10.185,3.8,26.55022037
26,8,18,20,25,3,13.175,5.8,26.55462677
27,9,18,14,25,3,7.185,5.8,26.38799523
28,9,18,14,25,3,10.185,3.8,26.44943648
29,9,18,14,25,3,13.175,5.8,26.48011391
30,10,20,19,27,3,7.185,5.8,28.18302642
31,10,20,19,27,3,10.185,3.8,28.26876325
32,10,20,19,27,3,13.175,5.8,28.27677994
33,11,15,14,27,3,7.185,5.8,28.1664218
34,11,15,14,27,3,10.185,3.8,28.21242214
35,11,15,14,27,3,13.175,5.8,28.25235946
36,12,18,3,25,3,7.185,5.8,26.31073832
37,12,18,3,25,3,10.185,3.8,26.26274203
38,12,18,3,25,3,13.175,5.8,26.27653247
39,13,23,8,21,3,7.185,5.8,22.77582556
40,13,23,8,21,3,10.185,3.8,22.83208191
41,13,23,8,21,3,13.175,5.8,22.8628814
42,14,22,1,22,3,7.185,5.8,23.61387611
43,14,22,1,22,3,10.185,3.8,23.58037011
44,14,22,1,22,3,13.175,5.8,23.59545949
45,15,19,27,22,3,7.185,5.8,23.89555522
46,15,19,27,22,3,10.185,3.8,24.01244139
47,15,19,27,22,3,13.175,5.8,24.03994345
48,16,13,15,28,3,7.185,5.8,29.06895462
49,16,13,15,28,3,10.185,3.8,29.13339362
50,16,13,15,28,3,13.175,5.8,29.14993547
51,17,13,15,27,3,7.185,5.8,28.18628898
52,17,13,15,27,3,10.185,3.8,28.25792824
53,17,13,15,27,3,13.175,5.8,28.27842455
54,18,25,8,28,3,7.185,5.8,28.88952149
55,18,25,8,28,3,10.185,3.8,28.87829075
56,18,25,8,28,3,13.175,5.8,28.88194466
57,19,17,26,21,3,7.185,5.8,23.00692446
58,19,17,26,21,3,10.185,3.8,23.12306208
59,19,17,26,21,3,13.175,5.8,23.15370463
60,20,17,22,24,3,7.185,5.8,25.59173667
61,20,17,22,24,3,10.185,3.8,25.70193458
62,20,17,22,24,3,13.175,5.8,25.72109262
63,21,16,6,27,3,7.185,5.8,28.1182788
64,21,16,6,27,3,10.185,3.8,28.08588837
65,21,16,6,27,3,13.175,5.8,28.11434435
66,22,24,2,25,3,7.185,5.8,26.18747104
67,22,24,2,25,3,10.185,3.8,26.19343999
68,22,24,2,25,3,13.175,5.8,26.17940373
69,23,11,7,27,3,7.185,5.8,28.13754639
70,23,11,7,27,3,10.185,3.8,28.15825261
71,23,11,7,27,3,13.175,5.8,28.17836203
72,24,20,15,28,3,7.185,5.8,29.02568588
73,24,20,15,28,3,10.185,3.8,29.05803487
74,24,20,15,28,3,13.175,5.8,29.07707776
75,25,20,13,20,3,7.185,5.8,21.98007924
76,25,20,13,20,3,10.185,3.8,22.09247806
77,25,20,13,20,3,13.175,5.8,22.11292385
78,26,14,18,27,3,7.185,5.8,28.20446124
79,26,14,18,27,3,10.185,3.8,28.28986477
80,26,14,18,27,3,13.175,5.8,28.30320446
81,27,20,2,22,3,7.185,5.8,23.63551707
82,27,20,2,22,3,10.185,3.8,23.62273664
83,27,20,2,22,3,13.175,5.8,23.63773207
84,28,17,5,24,3,7.185,5.8,25.44846256
