index,sim,tem,mass,n,occ,x,y,T
0,0,15,26,24,3,7.185,5.8,25.0478516518351
1,0,15,26,24,3,10.185,3.8,25.2874182844258
2,0,15,26,24,3,13.175,5.8,25.1730738790713
3,1,17,1,23,3,7.185,5.8,22.0686682268548
4,1,17,1,23,3,10.185,3.8,22.0303415110209
5,1,17,1,23,3,13.175,5.8,21.756447835878
6,2,17,11,23,3,7.185,5.8,22.8728662134928
7,2,17,11,23,3,10.185,3.8,22.9048176711153
8,2,17,11,23,3,13.175,5.8,22.8797144100484
9,3,13,23,25,3,7.185,5.8,25.7633452410229
10,3,13,23,25,3,10.185,3.8,26.0215839315663
11,3,13,23,25,3,13.175,5.8,25.8942355817493
12,4,22,19,28,3,7.185,5.8,27.7472360332883
13,4,22,19,28,3,10.185,3.8,27.9043737475324
14,4,22,19,28,3,13.175,5.8,27.8687574324369
15,5,17,30,24,3,7.185,5.8,25.3699264792385
16,5,17,30,24,3,10.185,3.8,25.573815218575
17,5,17,30,24,3,13.175,5.8,25.4168597947103
18,6,20,4,25,3,7.185,5.8,24.0281053059766
19,6,20,4,25,3,10.185,3.8,23.7249705348365
20,6,20,4,25,3,13.175,5.8,23.7693803304169
21,7,27,4,21,3,7.185,5.8,20.0022359997532
22,7,27,4,21,3,10.185,3.8,19.832150092544
23,7,27,4,21,3,13.175,5.8,19.9217160510884
24,8,18,20,25,3,7.185,5.8,25.421781065798
25,8,18,20,25,3,10.185,3.8,25.7469170689296
26,8,18,20,25,3,13.175,5.8,25.5234748246317
27,9,18,14,25,3,7.185,5.8,24.8549909767859
28,9,18,14,25,3,10.185,3.8,24.9652561877534
29,9,18,14,25,3,13.175,5.8,24.9763875690676
30,10,20,19,27,3,7.185,5.8,26.9491742392833
31,10,20,19,27,3,10.185,3.8,27.2510848999702
32,10,20,19,27,3,13.175,5.8,27.1010905388322
33,11,15,14,27,3,7.185,5.8,26.7960227121197
34,11,15,14,27,3,10.185,3.8,26.8996496985982
35,11,15,14,27,3,13.175,5.8,26.8811300172223
36,12,18,3,25,3,7.185,5.8,24.2015051965997
37,12,18,3,25,3,10.185,3.8,23.8031507801077
38,12,18,3,25,3,13.175,5.8,23.6814386636967
39,13,23,8,21,3,7.185,5.8,20.5051300368829
40,13,23,8,21,3,10.185,3.8,20.6527182231993
41,13,23,8,21,3,13.175,5.8,20.6394283818917
42,14,22,1,22,3,7.185,5.8,20.952583224196
43,14,22,1,22,3,10.185,3.8,20.6851114583591
44,14,22,1,22,3,13.175,5.8,20.6503801977857
45,15,19,27,22,3,7.185,5.8,23.3792526918721
46,15,19,27,22,3,10.185,3.8,23.6040161251424
47,15,19,27,22,3,13.175,5.8,23.4397973907496
48,16,13,15,28,3,7.185,5.8,27.8337054044651
49,16,13,15,28,3,10.185,3.8,28.0285428901249
50,16,13,15,28,3,13.175,5.8,27.9631394096132
51,17,13,15,27,3,7.185,5.8,26.9247635538597
52,17,13,15,27,3,10.185,3.8,27.1594459691925
53,17,13,15,27,3,13.175,5.8,27.0964289177265
54,18,25,8,28,3,7.185,5.8,26.3701615775714
55,18,25,8,28,3,10.185,3.8,26.2976826436073
