index,sim,tem,mass,n,occ,x,y,V
0,0,15,26,24,3,7.185,5.8,0.07685718
1,0,15,26,24,3,10.185,3.8,0.077990766
2,0,15,26,24,3,13.175,5.8,0.08180229
3,1,17,1,23,3,7.185,5.8,0.098300518
4,1,17,1,23,3,10.185,3.8,0.114596219
5,1,17,1,23,3,13.175,5.8,0.103460117
6,2,17,11,23,3,7.185,5.8,0.095696981
7,2,17,11,23,3,10.185,3.8,0.105776496
8,2,17,11,23,3,13.175,5.8,0.093277047
9,3,13,23,25,3,7.185,5.8,0.074023944
10,3,13,23,25,3,10.185,3.8,0.079240968
11,3,13,23,25,3,13.175,5.8,0.084555072
12,4,22,19,28,3,7.185,5.8,0.100607777
13,4,22,19,28,3,10.185,3.8,0.091397291
14,4,22,19,28,3,13.175,5.8,0.086480623
15,5,17,30,24,3,7.185,5.8,0.073223306
16,5,17,30,24,3,10.185,3.8,0.071372263
17,5,17,30,24,3,13.175,5.8,0.077608619
18,6,20,4,25,3,7.185,5.8,0.103264307
19,6,20,4,25,3,10.185,3.8,0.111289704
20,6,20,4,25,3,13.175,5.8,0.102694898
21,7,27,4,21,3,7.185,5.8,0.129606483
22,7,27,4,21,3,10.185,3.8,0.114159163
23,7,27,4,21,3,13.175,5.8,0.105105485
24,8,18,20,25,3,7.185,5.8,0.08897787
25,8,18,20,25,3,10.185,3.8,0.086369328
26,8,18,20,25,3,13.175,5.8,0.089292264
27,9,18,14,25,3,7.185,5.8,0.10587404
28,9,18,14,25,3,10.185,3.8,0.096921629
29,9,18,14,25,3,13.175,5.8,0.08966497
30,10,20,19,27,3,7.185,5.8,0.106831549
31,10,20,19,27,3,10.185,3.8,0.090476791
32,10,20,19,27,3,13.175,5.8,0.086509651
33,11,15,14,27,3,7.185,5.8,0.097680961
34,11,15,14,27,3,10.185,3.8,0.092724348
35,11,15,14,27,3,13.175,5.8,0.086835965
36,12,18,3,25,3,7.185,5.8,0.101169061
37,12,18,3,25,3,10.185,3.8,0.111513569
38,12,18,3,25,3,13.175,5.8,0.106828955
39,13,23,8,21,3,7.185,5.8,0.118783098
40,13,23,8,21,3,10.185,3.8,0.106846383
41,13,23,8,21,3,13.175,5.8,0.104120287
42,14,22,1,22,3,7.185,5.8,0.106871279
43,14,22,1,22,3,10.185,3.8,0.114173465
44,14,22,1,22,3,13.175,5.8,0.107080803
45,15,19,27,22,3,7.185,5.8,0.077255568
46,15,19,27,22,3,10.185,3.8,0.077453195
47,15,19,27,22,3,13.175,5.8,0.082876255
48,16,13,15,28,3,7.185,5.8,0.098895577
49,16,13,15,28,3,10.185,3.8,0.089868797
50,16,13,15,28,3,13.175,5.8,0.084793315
51,17,13,15,27,3,7.185,5.8,0.100070153
52,17,13,15,27,3,10.185,3.8,0.090545604
53,17,13,15,27,3,13.175,5.8,0.085944795
54,18,25,8,28,3,7.185,5.8,0.129966178
55,18,25,8,28,3,10.185,3.8,0.110435377
56,18,25,8,28,3,13.175,5.8,0.111420022
57,19,17,26,21,3,7.185,5.8,0.079020298
58,19,17,26,21,3,10.185,3.8,0.080270229
59,19,17,26,21,3,13.175,5.8,0.084911444
60,20,17,22,24,3,7.185,5.8,0.07302145
61,20,17,22,24,3,10.185,3.8,0.081421067
62,20,17,22,24,3,13.175,5.8,0.087533937
63,21,16,6,27,3,7.185,5.8,0.091789878
64,21,16,6,27,3,10.185,3.8,0.108470984
65,21,16,6,27,3,13.175,5.8,0.092403971
66,22,24,2,25,3,7.185,5.8,0.133411919
67,22,24,2,25,3,10.185,3.8,0.110884922
68,22,24,2,25,3,13.175,5.8,0.115100251
69,23,11,7,27,3,7.185,5.8,0.099330123
70,23,11,7,27,3,10.185,3.8,0.095644233
71,23,11,7,27,3,13.175,5.8,0.095248969
72,24,20,15,28,3,7.185,5.8,0.108375344
73,24,20,15,28,3,10.185,3.8,0.093119599
74,24,20,15,28,3,13.175,5.8,0.091266386
75,25,20,13,20,3,7.185,5.8,0.114607277
76,25,20,13,20,3,10.185,3.8,0.099104373
77,25,20,13,20,3,13.175,5.8,0.095252941
78,26,14,18,27,3,7.185,5.8,0.102917929
79,26,14,18,27,3,10.185,3.8,0.08639498
80,26,14,18,27,3,13.175,5.8,0.086769279
81,27,20,2,22,3,7.185,5.8,0.110189956
82,27,20,2,22,3,10.185,3.8,0.11040447
83,27,20,2,22,3,13.175,5.8,0.108401057
84,28,17,5,24,3,7.185,5.8,0.101937426
85,28,17,5,24,3,10.185,3.8,0.108206238
86,28,17,5,24,3,13.175,5.8,0.101805193
87,29,14,21,28,3,7.185,5.8,0.090179617
88,29,14,21,28,3,10.185,3.8,0.0813665
89,29,14,21,28,3,13.175,5.8,0.085230636
90,30,20,9,20,3,7.185,5.8,0.115513123
91,30,20,9,20,3,10.185,3.8,0.103390174
92,30,20,9,20,3,13.175,5.8,0.097417053
93,31,15,21,20,3,7.185,5.8,0.083766786
94,31,15,21,20,3,10.185,3.8,0.086532862
95,31,15,21,20,3,13.175,5.8,0.089522923
96,32,17,3,21,3,7.185,5.8,0.107713783
97,32,17,3,21,3,10.185,3.8,0.117285772
98,32,17,3,21,3,13.175,5.8,0.104566293
99,33,11,10,21,3,7.185,5.8,0.109294656
100,33,11,10,21,3,10.185,3.8,0.096489457
101,33,11,10,21,3,13.175,5.8,0.089582959
102,34,22,8,24,3,7.185,5.8,0.12319426
103,34,22,8,24,3,10.185,3.8,0.106208578
104,34,22,8,24,3,13.175,5.8,0.101963861
105,35,13,16,22,3,7.185,5.8,0.080086703
106,35,13,16,22,3,10.185,3.8,0.089842976
107,35,13,16,22,3,13.175,5.8,0.095128379
108,36,24,1,25,3,7.185,5.8,0.136303385
109,36,24,1,25,3,10.185,3.8,0.11120498
110,36,24,1,25,3,13.175,5.8,0.11091803
111,37,19,31,21,3,7.185,5.8,0.075955683
112,37,19,31,21,3,10.185,3.8,0.072638556
113,37,19,31,21,3,13.175,5.8,0.074830776
114,38,22,27,27,3,7.185,5.8,0.072916327
115,38,22,27,27,3,10.185,3.8,0.074468015
116,38,22,27,27,3,13.175,5.8,0.080598937
117,39,17,13,25,3,7.185,5.8,0.103258223
118,39,17,13,25,3,10.185,3.8,0.09770105
119,39,17,13,25,3,13.175,5.8,0.091200508
120,40,13,20,28,3,7.185,5.8,0.092859996
121,40,13,20,28,3,10.185,3.8,0.081818393
122,40,13,20,28,3,13.175,5.8,0.085366521
123,41,25,8,20,3,7.185,5.8,0.129472927
124,41,25,8,20,3,10.185,3.8,0.110247718
125,41,25,8,20,3,13.175,5.8,0.098498148
126,42,16,4,24,3,7.185,5.8,0.098548339
127,42,16,4,24,3,10.185,3.8,0.109348352
128,42,16,4,24,3,13.175,5.8,0.098581049
129,43,22,8,22,3,7.185,5.8,0.126034859
130,43,22,8,22,3,10.185,3.8,0.103384156
131,43,22,8,22,3,13.175,5.8,0.103524404
132,44,19,7,21,3,7.185,5.8,0.114272066
133,44,19,7,21,3,10.185,3.8,0.109005342
134,44,19,7,21,3,13.175,5.8,0.098688761
135,45,18,15,28,3,7.185,5.8,0.097802966
136,45,18,15,28,3,10.185,3.8,0.096403023
137,45,18,15,28,3,13.175,5.8,0.088405689
138,46,24,9,23,3,7.185,5.8,0.121717931
139,46,24,9,23,3,10.185,3.8,0.107414183
140,46,24,9,23,3,13.175,5.8,0.10308917
141,47,27,2,23,3,7.185,5.8,0.134850514
142,47,27,2,23,3,10.185,3.8,0.11964541
143,47,27,2,23,3,13.175,5.8,0.118231111
144,48,19,9,27,3,7.185,5.8,0.099998033
145,48,19,9,27,3,10.185,3.8,0.104530606
146,48,19,9,27,3,13.175,5.8,0.095406102
147,49,12,9,28,3,7.185,5.8,0.090754748
148,49,12,9,28,3,10.185,3.8,0.085461979
149,49,12,9,28,3,13.175,5.8,0.089989518
150,50,15,3,24,3,7.185,5.8,0.100775348
151,50,15,3,24,3,10.185,3.8,0.117692771
152,50,15,3,24,3,13.175,5.8,0.090962865
153,51,21,17,28,3,7.185,5.8,0.102660182
154,51,21,17,28,3,10.185,3.8,0.091119702
155,51,21,17,28,3,13.175,5.8,0.082582718
156,52,12,3,26,3,7.185,5.8,0.093461801
157,52,12,3,26,3,10.185,3.8,0.093857208
158,52,12,3,26,3,13.175,5.8,0.098316684
159,53,19,1,23,3,7.185,5.8,0.103902538
160,53,19,1,23,3,10.185,3.8,0.11306333
161,53,19,1,23,3,13.175,5.8,0.105781697
162,54,17,3,26,3,7.185,5.8,0.093326141
163,54,17,3,26,3,10.185,3.8,0.111538536
164,54,17,3,26,3,13.175,5.8,0.106914916
165,55,17,19,25,3,7.185,5.8,0.095760076
166,55,17,19,25,3,10.185,3.8,0.088020025
167,55,17,19,25,3,13.175,5.8,0.089101431
168,56,14,16,21,3,7.185,5.8,0.077325372
169,56,14,16,21,3,10.185,3.8,0.090609154
170,56,14,16,21,3,13.175,5.8,0.095500635
171,57,14,11,20,3,7.185,5.8,0.106605286
172,57,14,11,20,3,10.185,3.8,0.096974202
173,57,14,11,20,3,13.175,5.8,0.100524972
174,58,20,2,25,3,7.185,5.8,0.103692011
175,58,20,2,25,3,10.185,3.8,0.120054098
176,58,20,2,25,3,13.175,5.8,0.110245737
177,59,13,17,25,3,7.185,5.8,0.094095865
178,59,13,17,25,3,10.185,3.8,0.087146332
179,59,13,17,25,3,13.175,5.8,0.09159849
180,60,25,9,28,3,7.185,5.8,0.111168985
181,60,25,9,28,3,10.185,3.8,0.104871859
182,60,25,9,28,3,13.175,5.8,0.105332389
183,61,11,6,20,3,7.185,5.8,0.107668736
184,61,11,6,20,3,10.185,3.8,0.101947575
185,61,11,6,20,3,13.175,5.8,0.090659335
186,62,16,5,21,3,7.185,5.8,0.106915299
187,62,16,5,21,3,10.185,3.8,0.107607931
188,62,16,5,21,3,13.175,5.8,0.09941843
189,63,14,2,22,3,7.185,5.8,0.104977592
190,63,14,2,22,3,10.185,3.8,0.109787891
191,63,14,2,22,3,13.175,5.8,0.10079399
192,64,15,11,25,3,7.185,5.8,0.106963641
193,64,15,11,25,3,10.185,3.8,0.099278531
194,64,15,11,25,3,13.175,5.8,0.090691065
195,65,15,14,20,3,7.185,5.8,0.089729575
196,65,15,14,20,3,10.185,3.8,0.094139987
197,65,15,14,20,3,13.175,5.8,0.098184106
198,66,16,21,24,3,7.185,5.8,0.071258435
199,66,16,21,24,3,10.185,3.8,0.083260695
200,66,16,21,24,3,13.175,5.8,0.089216371
201,67,19,6,24,3,7.185,5.8,0.109290532
202,67,19,6,24,3,10.185,3.8,0.107857225
203,67,19,6,24,3,13.175,5.8,0.09885146
204,68,24,7,27,3,7.185,5.8,0.126403452
205,68,24,7,27,3,10.185,3.8,0.104399694
206,68,24,7,27,3,13.175,5.8,0.109250656
207,69,24,7,26,3,7.185,5.8,0.116108901
208,69,24,7,26,3,10.185,3.8,0.110322035
