index,sim,saf,sat,ewt,ist,wit,n_occ,x,y,MRT
1,1,0.393132184,4.44,23.89,23.89,24.584,3,9.23,1.575,24.98995063
2,1,0.393132184,4.44,23.89,23.89,24.584,3,6.9225,3.425,24.96840655
3,1,0.393132184,4.44,23.89,23.89,24.584,3,20.7675,3.425,24.89178737
4,2,0.393132184,4.44,23.89,23.89,26.112,3,9.23,1.575,25.01949959
5,2,0.393132184,4.44,23.89,23.89,26.112,3,6.9225,3.425,25.02084714
6,2,0.393132184,4.44,23.89,23.89,26.112,3,20.7675,3.425,24.95328993
7,3,0.393132184,4.44,23.89,23.89,27.501,3,9.23,1.575,24.99795819
8,3,0.393132184,4.44,23.89,23.89,27.501,3,6.9225,3.425,25.06181699
9,3,0.393132184,4.44,23.89,23.89,27.501,3,20.7675,3.425,24.98472457
10,4,0.393132184,4.44,25.97,25.97,24.584,3,9.23,1.575,26.79577642
11,4,0.393132184,4.44,25.97,25.97,24.584,3,6.9225,3.425,26.72877131
12,4,0.393132184,4.44,25.97,25.97,24.584,3,20.7675,3.425,26.64842943
13,5,0.393132184,4.44,25.97,25.97,26.112,3,9.23,1.575,26.76989521
14,5,0.393132184,4.44,25.97,25.97,26.112,3,6.9225,3.425,26.77526097
15,5,0.393132184,4.44,25.97,25.97,26.112,3,20.7675,3.425,26.69684116
16,6,0.393132184,4.44,25.97,25.97,27.501,3,9.23,1.575,26.78148242
17,6,0.393132184,4.44,25.97,25.97,27.501,3,6.9225,3.425,26.80435962
18,6,0.393132184,4.44,25.97,25.97,27.501,3,20.7675,3.425,26.76985287
19,7,0.393132184,4.44,28.06,28.06,24.584,3,9.23,1.575,28.54170454
20,7,0.393132184,4.44,28.06,28.06,24.584,3,6.9225,3.425,28.4912622
21,7,0.393132184,4.44,28.06,28.06,24.584,3,20.7675,3.425,28.42129747
22,8,0.393132184,4.44,28.06,28.06,26.112,3,9.23,1.575,28.58022123
23,8,0.393132184,4.44,28.06,28.06,26.112,3,6.9225,3.425,28.54745597
24,8,0.393132184,4.44,28.06,28.06,26.112,3,20.7675,3.425,28.48530334
25,9,0.393132184,4.44,28.06,28.06,27.501,3,9.23,1.575,28.60989778
26,9,0.393132184,4.44,28.06,28.06,27.501,3,6.9225,3.425,28.57738673
27,9,0.393132184,4.44,28.06,28.06,27.501,3,20.7675,3.425,28.50602564
28,10,0.393132184,8.61,23.89,23.89,26.664,3,9.23,1.575,25.07223818
29,10,0.393132184,8.61,23.89,23.89,26.664,3,6.9225,3.425,25.10590059
30,10,0.393132184,8.61,23.89,23.89,26.664,3,20.7675,3.425,25.02692954
31,11,0.393132184,8.61,23.89,23.89,28.192,3,9.23,1.575,25.09276628
32,11,0.393132184,8.61,23.89,23.89,28.192,3,6.9225,3.425,25.15683292
33,11,0.393132184,8.61,23.89,23.89,28.192,3,20.7675,3.425,25.07733843
34,12,0.393132184,8.61,23.89,23.89,29.581,3,9.23,1.575,25.09739239
35,12,0.393132184,8.61,23.89,23.89,29.581,3,6.9225,3.425,25.20407839
36,12,0.393132184,8.61,23.89,23.89,29.581,3,20.7675,3.425,25.10643952
37,13,0.393132184,8.61,25.97,25.97,26.664,3,9.23,1.575,26.85317769
38,13,0.393132184,8.61,25.97,25.97,26.664,3,6.9225,3.425,26.85865929
39,13,0.393132184,8.61,25.97,25.97,26.664,3,20.7675,3.425,26.785628
40,14,0.393132184,8.61,25.97,25.97,28.192,3,9.23,1.575,26.88751664
41,14,0.393132184,8.61,25.97,25.97,28.192,3,6.9225,3.425,26.90251969
42,14,0.393132184,8.61,25.97,25.97,28.192,3,20.7675,3.425,26.84769868
43,15,0.393132184,8.61,25.97,25.97,29.581,3,9.23,1.575,26.8878082
44,15,0.393132184,8.61,25.97,25.97,29.581,3,6.9225,3.425,26.96819541
45,15,0.393132184,8.61,25.97,25.97,29.581,3,20.7675,3.425,26.87217937
46,16,0.393132184,8.61,28.06,28.06,26.664,3,9.23,1.575,28.65228898
47,16,0.393132184,8.61,28.06,28.06,26.664,3,6.9225,3.425,28.62859343
48,16,0.393132184,8.61,28.06,28.06,26.664,3,20.7675,3.425,28.56056655
49,17,0.393132184,8.61,28.06,28.06,28.192,3,9.23,1.575,28.67529603
50,17,0.393132184,8.61,28.06,28.06,28.192,3,6.9225,3.425,28.66401775
51,17,0.393132184,8.61,28.06,28.06,28.192,3,20.7675,3.425,28.60915593
52,18,0.393132184,8.61,28.06,28.06,29.581,3,9.23,1.575,28.69024924
53,18,0.393132184,8.61,28.06,28.06,29.581,3,6.9225,3.425,28.70056912
54,18,0.393132184,8.61,28.06,28.06,29.581,3,20.7675,3.425,28.68158277
55,19,0.393132184,12.78,23.89,23.89,28.754,3,9.23,1.575,25.17691236
56,19,0.393132184,12.78,23.89,23.89,28.754,3,6.9225,3.425,25.25259919
57,19,0.393132184,12.78,23.89,23.89,28.754,3,20.7675,3.425,25.19945521
58,20,0.393132184,12.78,23.89,23.89,30.282,3,9.23,1.575,25.19004207
59,20,0.393132184,12.78,23.89,23.89,30.282,3,6.9225,3.425,25.30124438
60,20,0.393132184,12.78,23.89,23.89,30.282,3,20.7675,3.425,25.25141309
61,21,0.393132184,12.78,23.89,23.89,31.671,3,9.23,1.575,25.2041126
62,21,0.393132184,12.78,23.89,23.89,31.671,3,6.9225,3.425,25.3426658
63,21,0.393132184,12.78,23.89,23.89,31.671,3,20.7675,3.425,25.27957117
64,22,0.393132184,12.78,25.97,25.97,28.754,3,9.23,1.575,26.95554191
65,22,0.393132184,12.78,25.97,25.97,28.754,3,6.9225,3.425,26.99451698
66,22,0.393132184,12.78,25.97,25.97,28.754,3,20.7675,3.425,26.94473176
67,23,0.393132184,12.78,25.97,25.97,30.282,3,9.23,1.575,26.96761854
