index,sim,saf,sat,ewt,ist,wit,n_occ,x,y,T
1,1,0.393132184,4.44,23.89,23.89,24.584,3,9.23,1.575,21.89317673
2,1,0.393132184,4.44,23.89,23.89,24.584,3,6.9225,3.425,21.68333574
3,1,0.393132184,4.44,23.89,23.89,24.584,3,20.7675,3.425,21.69679686
4,2,0.393132184,4.44,23.89,23.89,26.112,3,9.23,1.575,21.94655401
5,2,0.393132184,4.44,23.89,23.89,26.112,3,6.9225,3.425,21.65808345
6,2,0.393132184,4.44,23.89,23.89,26.112,3,20.7675,3.425,21.75738845
7,3,0.393132184,4.44,23.89,23.89,27.501,3,9.23,1.575,21.82411259
8,3,0.393132184,4.44,23.89,23.89,27.501,3,6.9225,3.425,21.54969108
9,3,0.393132184,4.44,23.89,23.89,27.501,3,20.7675,3.425,21.78932915
10,4,0.393132184,4.44,25.97,25.97,24.584,3,9.23,1.575,23.39674008
11,4,0.393132184,4.44,25.97,25.97,24.584,3,6.9225,3.425,23.22009246
12,4,0.393132184,4.44,25.97,25.97,24.584,3,20.7675,3.425,23.25922362
13,5,0.393132184,4.44,25.97,25.97,26.112,3,9.23,1.575,23.41181861
14,5,0.393132184,4.44,25.97,25.97,26.112,3,6.9225,3.425,23.14731569
15,5,0.393132184,4.44,25.97,25.97,26.112,3,20.7675,3.425,23.63105483
16,6,0.393132184,4.44,25.97,25.97,27.501,3,9.23,1.575,23.20778591
17,6,0.393132184,4.44,25.97,25.97,27.501,3,6.9225,3.425,23.18311587
18,6,0.393132184,4.44,25.97,25.97,27.501,3,20.7675,3.425,23.6298244
19,7,0.393132184,4.44,28.06,28.06,24.584,3,9.23,1.575,24.92702095
20,7,0.393132184,4.44,28.06,28.06,24.584,3,6.9225,3.425,24.62954495
21,7,0.393132184,4.44,28.06,28.06,24.584,3,20.7675,3.425,25.03578947
22,8,0.393132184,4.44,28.06,28.06,26.112,3,9.23,1.575,25.11325004
23,8,0.393132184,4.44,28.06,28.06,26.112,3,6.9225,3.425,24.88649899
24,8,0.393132184,4.44,28.06,28.06,26.112,3,20.7675,3.425,25.29495136
25,9,0.393132184,4.44,28.06,28.06,27.501,3,9.23,1.575,25.08795724
26,9,0.393132184,4.44,28.06,28.06,27.501,3,6.9225,3.425,24.98081278
27,9,0.393132184,4.44,28.06,28.06,27.501,3,20.7675,3.425,25.17444321
28,10,0.393132184,8.61,23.89,23.89,26.664,3,9.23,1.575,22.32313943
29,10,0.393132184,8.61,23.89,23.89,26.664,3,6.9225,3.425,22.26817843
30,10,0.393132184,8.61,23.89,23.89,26.664,3,20.7675,3.425,22.13458016
31,11,0.393132184,8.61,23.89,23.89,28.192,3,9.23,1.575,22.61334957
32,11,0.393132184,8.61,23.89,23.89,28.192,3,6.9225,3.425,22.24784525
33,11,0.393132184,8.61,23.89,23.89,28.192,3,20.7675,3.425,22.47035878
34,12,0.393132184,8.61,23.89,23.89,29.581,3,9.23,1.575,22.4112327
35,12,0.393132184,8.61,23.89,23.89,29.581,3,6.9225,3.425,22.25595631
36,12,0.393132184,8.61,23.89,23.89,29.581,3,20.7675,3.425,22.0643048
37,13,0.393132184,8.61,25.97,25.97,26.664,3,9.23,1.575,23.90761183
38,13,0.393132184,8.61,25.97,25.97,26.664,3,6.9225,3.425,23.83627285
39,13,0.393132184,8.61,25.97,25.97,26.664,3,20.7675,3.425,23.87644301
40,14,0.393132184,8.61,25.97,25.97,28.192,3,9.23,1.575,24.29649218
41,14,0.393132184,8.61,25.97,25.97,28.192,3,6.9225,3.425,24.08412264
42,14,0.393132184,8.61,25.97,25.97,28.192,3,20.7675,3.425,23.8130295
43,15,0.393132184,8.61,25.97,25.97,29.581,3,9.23,1.575,24.25879362
44,15,0.393132184,8.61,25.97,25.97,29.581,3,6.9225,3.425,23.90852614
45,15,0.393132184,8.61,25.97,25.97,29.581,3,20.7675,3.425,23.84508589
46,16,0.393132184,8.61,28.06,28.06,26.664,3,9.23,1.575,25.51235013
47,16,0.393132184,8.61,28.06,28.06,26.664,3,6.9225,3.425,25.46245907
48,16,0.393132184,8.61,28.06,28.06,26.664,3,20.7675,3.425,25.37198536
49,17,0.393132184,8.61,28.06,28.06,28.192,3,9.23,1.575,25.57778374
50,17,0.393132184,8.61,28.06,28.06,28.192,3,6.9225,3.425,25.5346812
51,17,0.393132184,8.61,28.06,28.06,28.192,3,20.7675,3.425,25.68183778
52,18,0.393132184,8.61,28.06,28.06,29.581,3,9.23,1.575,25.80974004
53,18,0.393132184,8.61,28.06,28.06,29.581,3,6.9225,3.425,25.58119372
54,18,0.393132184,8.61,28.06,28.06,29.581,3,20.7675,3.425,25.89217335
55,19,0.393132184,12.78,23.89,23.89,28.754,3,9.23,1.575,23.29584355
56,19,0.393132184,12.78,23.89,23.89,28.754,3,6.9225,3.425,23.01668325
57,19,0.393132184,12.78,23.89,23.89,28.754,3,20.7675,3.425,23.08539311
58,20,0.393132184,12.78,23.89,23.89,30.282,3,9.23,1.575,23.31939494
59,20,0.393132184,12.78,23.89,23.89,30.282,3,6.9225,3.425,23.14972088
60,20,0.393132184,12.78,23.89,23.89,30.282,3,20.7675,3.425,22.96283641
61,21,0.393132184,12.78,23.89,23.89,31.671,3,9.23,1.575,23.40107235
62,21,0.393132184,12.78,23.89,23.89,31.671,3,6.9225,3.425,23.12568891
63,21,0.393132184,12.78,23.89,23.89,31.671,3,20.7675,3.425,22.73536766
64,22,0.393132184,12.78,25.97,25.97,28.754,3,9.23,1.575,24.65376167
65,22,0.393132184,12.78,25.97,25.97,28.754,3,6.9225,3.425,24.58398266
66,22,0.393132184,12.78,25.97,25.97,28.754,3,20.7675,3.425,24.29559557
67,23,0.393132184,12.78,25.97,25.97,30.282,3,9.23,1.575,24.75661666
68,23,0.393132184,12.78,25.97,25.97,30.282,3,6.9225,3.425,24.67144991
69,23,0.393132184,12.78,25.97,25.97,30.282,3,20.7675,3.425,24.55181858
70,24,0.393132184,12.78,25.97,25.97,31.671,3,9.23,1.575,24.74505167
71,24,0.393132184,12.78,25.97,25.97,31.671,3,6.9225,3.425,24.59502348
72,24,0.393132184,12.78,25.97,25.97,31.671,3,20.7675,3.425,24.62694653
73,25,0.393132184,12.78,28.06,28.06,28.754,3,9.23,1.575,26.39153611
74,25,0.393132184,12.78,28.06,28.06,28.754,3,6.9225,3.425,26.19095278
75,25,0.393132184,12.78,28.06,28.06,28.754,3,20.7675,3.425,26.01781107
76,26,0.393132184,12.78,28.06,28.06,30.282,3,9.23,1.575,26.34921592
77,26,0.393132184,12.78,28.06,28.06,30.282,3,6.9225,3.425,26.13156899
78,26,0.393132184,12.78,28.06,28.06,30.282,3,20.7675,3.425,26.11333907
79,27,0.393132184,12.78,28.06,28.06,31.671,3,9.23,1.575,26.26805784
80,27,0.393132184,12.78,28.06,28.06,31.671,3,6.9225,3.425,26.2339298
81,27,0.393132184,12.78,28.06,28.06,31.671,3,20.7675,3.425,25.97922852
82,28,0.439383029,4.44,23.89,23.89,24.584,3,9.23,1.575,21.50206171
83,28,0.439383029,4.44,23.89,23.89,24.584,3,6.9225,3.425,21.2984359
84,28,0.439383029,4.44,23.89,23.89,24.584,3,20.7675,3.425,21.36654416
85,29,0.439383029,4.44,23.89,23.89,26.112,3,9.23,1.575,21.31155815
86,29,0.439383029,4.44,23.89,23.89,26.112,3,6.9225,3.425,21.25633319
87,29,0.439383029,4.44,23.89,23.89,26.112,3,20.7675,3.425,21.09120784
88,30,0.439383029,4.44,23.89,23.89,27.501,3,9.23,1.575,21.50767535
89,30,0.439383029,4.44,23.89,23.89,27.501,3,6.9225,3.425,21.28426148
90,30,0.439383029,4.44,23.89,23.89,27.501,3,20.7675,3.425,21.31105181
91,31,0.439383029,4.44,25.97,25.97,24.584,3,9.23,1.575,22.86102701
92,31,0.439383029,4.44,25.97,25.97,24.584,3,6.9225,3.425,22.87718384
93,31,0.439383029,4.44,25.97,25.97,24.584,3,20.7675,3.425,22.70847645
94,32,0.439383029,4.44,25.97,25.97,26.112,3,9.23,1.575,22.93914474
95,32,0.439383029,4.44,25.97,25.97,26.112,3,6.9225,3.425,22.94060366
96,32,0.439383029,4.44,25.97,25.97,26.112,3,20.7675,3.425,22.72045125
