index,sim,saf,sat,ewt,ist,wit,n_occ,x,y,V
1,1,0.393132184,4.44,23.89,23.89,24.584,3,9.23,1.575,0.134301539
2,1,0.393132184,4.44,23.89,23.89,24.584,3,6.9225,3.425,0.157072235
3,1,0.393132184,4.44,23.89,23.89,24.584,3,20.7675,3.425,0.196305986
4,2,0.393132184,4.44,23.89,23.89,26.112,3,9.23,1.575,0.140808986
5,2,0.393132184,4.44,23.89,23.89,26.112,3,6.9225,3.425,0.15284128
6,2,0.393132184,4.44,23.89,23.89,26.112,3,20.7675,3.425,0.165008579
7,3,0.393132184,4.44,23.89,23.89,27.501,3,9.23,1.575,0.16025861
8,3,0.393132184,4.44,23.89,23.89,27.501,3,6.9225,3.425,0.165209675
9,3,0.393132184,4.44,23.89,23.89,27.501,3,20.7675,3.425,0.187108015
10,4,0.393132184,4.44,25.97,25.97,24.584,3,9.23,1.575,0.141907311
11,4,0.393132184,4.44,25.97,25.97,24.584,3,6.9225,3.425,0.151850942
12,4,0.393132184,4.44,25.97,25.97,24.584,3,20.7675,3.425,0.196390506
13,5,0.393132184,4.44,25.97,25.97,26.112,3,9.23,1.575,0.149887613
14,5,0.393132184,4.44,25.97,25.97,26.112,3,6.9225,3.425,0.153491636
15,5,0.393132184,4.44,25.97,25.97,26.112,3,20.7675,3.425,0.172804112
16,6,0.393132184,4.44,25.97,25.97,27.501,3,9.23,1.575,0.170767138
17,6,0.393132184,4.44,25.97,25.97,27.501,3,6.9225,3.425,0.159399332
18,6,0.393132184,4.44,25.97,25.97,27.501,3,20.7675,3.425,0.159832882
19,7,0.393132184,4.44,28.06,28.06,24.584,3,9.23,1.575,0.165092537
20,7,0.393132184,4.44,28.06,28.06,24.584,3,6.9225,3.425,0.154147444
21,7,0.393132184,4.44,28.06,28.06,24.584,3,20.7675,3.425,0.182969753
22,8,0.393132184,4.44,28.06,28.06,26.112,3,9.23,1.575,0.154100628
23,8,0.393132184,4.44,28.06,28.06,26.112,3,6.9225,3.425,0.149156295
24,8,0.393132184,4.44,28.06,28.06,26.112,3,20.7675,3.425,0.163714317
25,9,0.393132184,4.44,28.06,28.06,27.501,3,9.23,1.575,0.155027429
26,9,0.393132184,4.44,28.06,28.06,27.501,3,6.9225,3.425,0.157571793
