index,sim,mass,tem_supply,tem_surf,tem_win,n_occ,x,y,MRT,T,V
0,0,0.023125427999999996,26.6666667,4.4444444,-1.1111111,1,2.05,2.25,26.1860083,27.35139606,0.079308041
1,1,0.057813569,26.6666667,4.4444444,-1.1111111,1,2.05,2.25,26.52212791,27.72239623,0.071792116
2,2,0.17344070600000003,26.6666667,4.4444444,-1.1111111,1,2.05,2.25,26.79865974,28.01434662,0.071021063
3,3,0.023125427999999996,29.444444399999995,4.4444444,-1.1111111,1,2.05,2.25,27.02873021,28.28975706,0.075473892
4,4,0.057813569,29.444444399999995,4.4444444,-1.1111111,1,2.05,2.25,26.84392521,28.05523201,0.06638815099999999
5,5,0.17344070600000003,29.444444399999995,4.4444444,-1.1111111,1,2.05,2.25,27.12839261,28.35395597,0.06794012099999999
6,6,0.023125427999999996,35.0,4.4444444,-1.1111111,1,2.05,2.25,27.4066043,28.63068609,0.066797175
7,7,0.057813569,35.0,4.4444444,-1.1111111,1,2.05,2.25,27.20981992,28.41378453,0.07109041
8,8,0.17344070600000003,35.0,4.4444444,-1.1111111,1,2.05,2.25,27.45990084,28.70573926,0.071622072
9,9,0.023125427999999996,26.6666667,7.222222200000001,-1.1111111,1,2.05,2.25,27.74249132,28.97817432,0.067214154
10,10,0.057813569,26.6666667,7.222222200000001,-1.1111111,1,2.05,2.25,27.89972034,29.07280333,0.065524998
11,11,0.17344070600000003,26.6666667,7.222222200000001,-1.1111111,1,2.05,2.25,28.08814225,29.33988412,0.065581203
12,12,0.023125427999999996,29.444444399999995,7.222222200000001,-1.1111111,1,2.05,2.25,26.36477942,27.37107502,0.080668067
13,13,0.057813569,29.444444399999995,7.222222200000001,-1.1111111,1,2.05,2.25,26.68861266,27.73293084,0.070545006
14,14,0.17344070600000003,29.444444399999995,7.222222200000001,-1.1111111,1,2.05,2.25,26.99608581,28.03038843,0.074120999
15,15,0.023125427999999996,35.0,7.222222200000001,-1.1111111,1,2.05,2.25,27.16472886,28.29823044,0.07240009
16,16,0.057813569,35.0,7.222222200000001,-1.1111111,1,2.05,2.25,27.02666413,28.06590675,0.061394906
17,17,0.17344070600000003,35.0,7.222222200000001,-1.1111111,1,2.05,2.25,27.27684721,28.36359519,0.067560123
18,18,0.023125427999999996,26.6666667,10.0,-1.1111111,1,2.05,2.25,27.53730972,28.63971523,0.067219914
19,19,0.057813569,26.6666667,10.0,-1.1111111,1,2.05,2.25,27.40342727,28.42683781,0.068723747
20,20,0.17344070600000003,26.6666667,10.0,-1.1111111,1,2.05,2.25,27.64007655,28.71204028,0.067032113
21,21,0.023125427999999996,29.444444399999995,10.0,-1.1111111,1,2.05,2.25,27.97538976,28.99739388,0.064668557
22,22,0.057813569,29.444444399999995,10.0,-1.1111111,1,2.05,2.25,28.00954091,29.07964633,0.068136079
