,index,sim,tem,mass,n,occ,x,y,MRT,T,V
0,0,0,15,26,24,3,7.185,5.8,25.63762754,25.047851651835103,0.07685718
1,1,0,15,26,24,3,10.185,3.8,25.74246695,25.2874182844258,0.077990766
2,2,0,15,26,24,3,13.175,5.8,25.7705777,25.173073879071303,0.08180229
3,3,1,17,1,23,3,7.185,5.8,24.48696874,22.0686682268548,0.098300518
4,4,1,17,1,23,3,10.185,3.8,24.50697761,22.0303415110209,0.114596219
5,5,1,17,1,23,3,13.175,5.8,24.51064908,21.756447835878,0.10346011699999999
6,6,2,17,11,23,3,7.185,5.8,24.60240008,22.8728662134928,0.095696981
7,7,2,17,11,23,3,10.185,3.8,24.65636063,22.904817671115303,0.105776496
8,8,2,17,11,23,3,13.175,5.8,24.68511319,22.8797144100484,0.09327704699999999
9,9,3,13,23,25,3,7.185,5.8,26.49031348,25.763345241022897,0.07402394400000001
10,10,3,13,23,25,3,10.185,3.8,26.59392575,26.0215839315663,0.079240968
11,11,3,13,23,25,3,13.175,5.8,26.61364484,25.8942355817493,0.084555072
12,12,4,22,19,28,3,7.185,5.8,29.05911777,27.747236033288303,0.100607777
13,13,4,22,19,28,3,10.185,3.8,29.11461679,27.904373747532397,0.09139729099999999
14,14,4,22,19,28,3,13.175,5.8,29.13290673,27.8687574324369,0.086480623
15,15,5,17,30,24,3,7.185,5.8,25.67426746,25.3699264792385,0.073223306
16,16,5,17,30,24,3,10.185,3.8,25.78838454,25.573815218575,0.07137226299999999
17,17,5,17,30,24,3,13.175,5.8,25.80985098,25.4168597947103,0.077608619
18,18,6,20,4,25,3,7.185,5.8,26.29903909,24.028105305976602,0.10326430699999999
19,19,6,20,4,25,3,10.185,3.8,26.261881899999995,23.7249705348365,0.111289704
20,20,6,20,4,25,3,13.175,5.8,26.28584914,23.769380330416897,0.102694898
21,21,7,27,4,21,3,7.185,5.8,22.70223173,20.0022359997532,0.129606483
22,22,7,27,4,21,3,10.185,3.8,22.70312158,19.832150092544,0.11415916300000001
23,23,7,27,4,21,3,13.175,5.8,22.75292831,19.9217160510884,0.105105485
24,24,8,18,20,25,3,7.185,5.8,26.45262516,25.421781065798,0.08897787
25,25,8,18,20,25,3,10.185,3.8,26.55022037,25.7469170689296,0.08636932800000001
26,26,8,18,20,25,3,13.175,5.8,26.55462677,25.523474824631702,0.08929226400000001
27,27,9,18,14,25,3,7.185,5.8,26.38799523,24.8549909767859,0.10587404
28,28,9,18,14,25,3,10.185,3.8,26.44943648,24.9652561877534,0.09692162900000001
29,29,9,18,14,25,3,13.175,5.8,26.48011391,24.9763875690676,0.08966497
30,30,10,20,19,27,3,7.185,5.8,28.18302642,26.9491742392833,0.106831549
31,31,10,20,19,27,3,10.185,3.8,28.26876325,27.2510848999702,0.090476791
32,32,10,20,19,27,3,13.175,5.8,28.27677994,27.101090538832196,0.08650965099999999
33,33,11,15,14,27,3,7.185,5.8,28.1664218,26.796022712119697,0.097680961
34,34,11,15,14,27,3,10.185,3.8,28.21242214,26.8996496985982,0.09272434800000001
35,35,11,15,14,27,3,13.175,5.8,28.25235946,26.8811300172223,0.086835965
36,36,12,18,3,25,3,7.185,5.8,26.31073832,24.201505196599697,0.10116906099999999
37,37,12,18,3,25,3,10.185,3.8,26.26274203,23.8031507801077,0.111513569
38,38,12,18,3,25,3,13.175,5.8,26.27653247,23.6814386636967,0.106828955
39,39,13,23,8,21,3,7.185,5.8,22.77582556,20.5051300368829,0.118783098
40,40,13,23,8,21,3,10.185,3.8,22.83208191,20.6527182231993,0.106846383
41,41,13,23,8,21,3,13.175,5.8,22.8628814,20.639428381891697,0.10412028699999999
42,42,14,22,1,22,3,7.185,5.8,23.61387611,20.952583224196,0.106871279
43,43,14,22,1,22,3,10.185,3.8,23.58037011,20.6851114583591,0.114173465
44,44,14,22,1,22,3,13.175,5.8,23.59545949,20.6503801977857,0.107080803
45,45,15,19,27,22,3,7.185,5.8,23.89555522,23.3792526918721,0.077255568
46,46,15,19,27,22,3,10.185,3.8,24.01244139,23.604016125142397,0.077453195
47,47,15,19,27,22,3,13.175,5.8,24.03994345,23.439797390749604,0.082876255
48,48,16,13,15,28,3,7.185,5.8,29.06895462,27.833705404465103,0.098895577
49,49,16,13,15,28,3,10.185,3.8,29.13339362,28.028542890124896,0.08986879699999999
50,50,16,13,15,28,3,13.175,5.8,29.14993547,27.9631394096132,0.084793315
51,51,17,13,15,27,3,7.185,5.8,28.18628898,26.9247635538597,0.10007015300000001
52,52,17,13,15,27,3,10.185,3.8,28.25792824,27.1594459691925,0.090545604
53,53,17,13,15,27,3,13.175,5.8,28.27842455,27.0964289177265,0.085944795
54,54,18,25,8,28,3,7.185,5.8,28.88952149,26.3701615775714,0.12996617800000002
55,55,18,25,8,28,3,10.185,3.8,28.87829075,26.297682643607303,0.11043537699999999
56,56,18,25,8,28,3,13.175,5.8,28.88194466,26.3629676366941,0.111420022
57,57,19,17,26,21,3,7.185,5.8,23.00692446,22.3735215622448,0.079020298
