index,sim,saf,sat,ewt,ist,wit,n_occ,x,y,MRT,T,V
1,1,0.393132184,4.44,23.89,23.89,24.584,3,9.23,1.575,24.98995063,21.89317673,0.134301539
2,1,0.393132184,4.44,23.89,23.89,24.584,3,6.9225,3.425,24.96840655,21.68333574,0.157072235
3,1,0.393132184,4.44,23.89,23.89,24.584,3,20.7675,3.425,24.89178737,21.69679686,0.19630598600000002
4,2,0.393132184,4.44,23.89,23.89,26.112,3,9.23,1.575,25.01949959,21.94655401,0.140808986
5,2,0.393132184,4.44,23.89,23.89,26.112,3,6.9225,3.425,25.02084714,21.65808345,0.15284128
6,2,0.393132184,4.44,23.89,23.89,26.112,3,20.7675,3.425,24.95328993,21.75738845,0.16500857900000002
7,3,0.393132184,4.44,23.89,23.89,27.500999999999998,3,9.23,1.575,24.99795819,21.82411259,0.16025861
8,3,0.393132184,4.44,23.89,23.89,27.500999999999998,3,6.9225,3.425,25.06181699,21.54969108,0.165209675
9,3,0.393132184,4.44,23.89,23.89,27.500999999999998,3,20.7675,3.425,24.98472457,21.78932915,0.187108015
10,4,0.393132184,4.44,25.97,25.97,24.584,3,9.23,1.575,26.79577642,23.39674008,0.141907311
11,4,0.393132184,4.44,25.97,25.97,24.584,3,6.9225,3.425,26.72877131,23.22009246,0.151850942
12,4,0.393132184,4.44,25.97,25.97,24.584,3,20.7675,3.425,26.64842943,23.25922362,0.19639050600000002
13,5,0.393132184,4.44,25.97,25.97,26.112,3,9.23,1.575,26.76989521,23.41181861,0.149887613
14,5,0.393132184,4.44,25.97,25.97,26.112,3,6.9225,3.425,26.77526097,23.14731569,0.153491636
15,5,0.393132184,4.44,25.97,25.97,26.112,3,20.7675,3.425,26.69684116,23.63105483,0.17280411199999998
16,6,0.393132184,4.44,25.97,25.97,27.500999999999998,3,9.23,1.575,26.78148242,23.20778591,0.170767138
17,6,0.393132184,4.44,25.97,25.97,27.500999999999998,3,6.9225,3.425,26.80435962,23.18311587,0.159399332
18,6,0.393132184,4.44,25.97,25.97,27.500999999999998,3,20.7675,3.425,26.76985287,23.629824399999997,0.15983288199999998
19,7,0.393132184,4.44,28.06,28.06,24.584,3,9.23,1.575,28.54170454,24.92702095,0.16509253699999998
20,7,0.393132184,4.44,28.06,28.06,24.584,3,6.9225,3.425,28.491262199999998,24.62954495,0.154147444
21,7,0.393132184,4.44,28.06,28.06,24.584,3,20.7675,3.425,28.42129747,25.03578947,0.182969753
22,8,0.393132184,4.44,28.06,28.06,26.112,3,9.23,1.575,28.58022123,25.11325004,0.15410062800000002
23,8,0.393132184,4.44,28.06,28.06,26.112,3,6.9225,3.425,28.54745597,24.88649899,0.149156295
24,8,0.393132184,4.44,28.06,28.06,26.112,3,20.7675,3.425,28.48530334,25.29495136,0.163714317
